scenario,method,expanded_nodes,fringe_size,depth,path
Scenario 88,DFS,37167,203,164,left->left->down->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->down->right->up->up->left->left->down->down->right->right->up->left->left->up->right->down->down->left->up->right->up->left->down->right->down->left->up->right->up->left
Scenario 88,UCS,18,18,4,down->left->up->left
Scenario 88,A*,17,18,4,down->left->up->left
Scenario 88,h3,4,6,4,down->left->up->left
Scenario 89,BFS,85,64,6,left->left->down->right->up->left
Scenario 89,DFS,50911,203,164,left->left->down->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->down->right->up->up->left->down->left->down->right->up->left->down->right->right->up->left->up->left->down->right->right->up->left->left->down->right->down->left->up->up
Scenario 89,UCS,85,64,6,left->left->down->right->up->left
Scenario 89,A*,84,63,6,left->left->down->right->up->left
Scenario 89,h3,6,7,6,left->left->down->right->up->left
Scenario 90,BFS,7,8,2,left->left
Scenario 90,DFS,2,4,2,left->left
Scenario 90,UCS,7,8,2,left->left
Scenario 90,A*,6,8,2,left->left
Scenario 90,h3,2,3,2,left->left
Scenario 91,BFS,54,40,6,down->down->left->up->left->up
Scenario 91,DFS,5522,203,158,left->left->down->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->down->right->up->left->left->down->right->up->right->up->left->down->left->down->right->up->up->left
Scenario 91,UCS,54,40,6,down->down->left->up->left->up
Scenario 91,A*,53,39,6,down->down->left->up->left->up
Scenario 91,h3,6,7,6,down->down->left->up->left->up
Scenario 92,BFS,72,53,6,left->down->down->left->up->up
Scenario 92,DFS,41652,203,164,left->left->down->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->down->right->up->up->left->left->down->down->right->up->left->down->right->up->left->down->right->right->up->up->left->left->down->right->down->left->up->right->up->left
Scenario 92,UCS,72,53,6,left->down->down->left->up->up
Scenario 92,A*,71,51,6,left->down->down->left->up->up
Scenario 92,h3,6,7,6,left->down->down->left->up->up
Scenario 93,BFS,236,143,8,left->down->left->down->right->up->up->left
Scenario 93,DFS,37133,203,162,left->left->down->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->down->right->up->up->left->left->down->down->right->right->up->left->left->up->right->down->down->left->up->right->up->left->down->right->right->up->left->left
Scenario 93,UCS,236,143,8,left->down->left->down->right->up->up->left
Scenario 93,A*,235,137,8,left->down->left->down->right->up->up->left
Scenario 93,h3,13,13,8,left->down->left->down->right->up->up->left
Scenario 94,BFS,52,40,6,down->down->left->up->up->left
Scenario 94,DFS,5529,203,162,left->left->down->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->down->right->up->left->left->down->right->up->right->up->left->down->left->down->right->up->up->left->down->right->up->left
Scenario 94,UCS,52,40,6,down->down->left->up->up->left
Scenario 94,A*,51,39,6,down->down->left->up->up->left
Scenario 94,h3,6,7,6,down->down->left->up->up->left
Scenario 95,BFS,72,66,6,up->left->down->right->up->left
Scenario 95,DFS,2638,203,162,right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->up->left->left->down->down->right->right->up->up->left->left->down->right->down->left->up->right->up->left
Scenario 95,UCS,72,66,6,up->left->down->right->up->left
Scenario 95,A*,71,62,6,up->left->down->right->up->left
Scenario 95,h3,11,13,6,up->left->down->right->up->left
Scenario 96,BFS,266,156,8,left->left->up->right->right->up->left->left
Scenario 96,DFS,150556,203,8,left->left->up->right->right->up->left->left
Scenario 96,UCS,266,156,8,left->left->up->right->right->up->left->left
Scenario 96,A*,265,150,8,left->left->up->right->right->up->left->left
Scenario 96,h3,8,8,8,left->left->up->right->right->up->left->left
Scenario 97,BFS,85,64,6,left->left->up->right->up->left
Scenario 97,DFS,150560,203,6,left->left->up->right->up->left
Scenario 97,UCS,85,64,6,left->left->up->right->up->left
Scenario 97,A*,84,63,6,left->left->up->right->up->left
Scenario 97,h3,6,7,6,left->left->up->right->up->left
Scenario 98,BFS,24,18,4,left->up->up->left
Scenario 98,DFS,2380,203,152,left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->up->left->left->down->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->down->right->up->left->down->left->up->right->up->left
Scenario 98,UCS,24,18,4,left->up->up->left
Scenario 98,A*,23,18,4,left->up->up->left
Scenario 98,h3,4,6,4,left->up->up->left
Scenario 99,BFS,10,8,2,left->up
Scenario 99,DFS,30,41,30,right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up
Scenario 99,UCS,10,8,2,left->up
Scenario 99,A*,9,8,2,left->up
Scenario 99,h3,2,5,2,left->up
Scenario 100,BFS,6,8,2,up->left
Scenario 100,DFS,2639,203,160,right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->up->left->left->down->down->right->right->up->up->left->left->down->right->down->left->up->up
Scenario 100,UCS,6,8,2,up->left
Scenario 100,A*,5,8,2,up->left
Scenario 100,h3,2,5,2,up->left
