scenario,method,expanded_nodes,fringe_size,depth,path
Scenario 15,BFS,26,18,4,left->up->left->up
Scenario 15,DFS,2448,203,160,left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->up->left->left->down->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->down->right->up->left->down->left->up->right->up->left->down->right->up->left->down->right->up->left
Scenario 15,UCS,26,18,4,left->up->left->up
Scenario 15,A*,25,18,4,left->up->left->up
Scenario 15,h3,4,6,4,left->up->left->up
Scenario 16,BFS,22,18,4,down->left->left->up
Scenario 16,DFS,37184,203,162,left->left->down->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->down->right->up->up->left->left->down->down->right->right->up->left->left->up->right->down->down->left->up->right->up->left->down->right->down->left->up->up
Scenario 16,UCS,22,18,4,down->left->left->up
Scenario 16,A*,21,18,4,down->left->left->up
Scenario 16,h3,4,6,4,down->left->left->up
Scenario 17,BFS,24,18,4,left->up->up->left
